ds,thr,seed,model,arm,cov_ind,cov_big,width_factor,ooe_bias,ooe_cov,ooe_unsafe
STEEL-a19,0.7,0,HistGB,residual-target,0.8542713567839196,0.7984293193717278,1.4758637024070382,1.0035557985658599,0.1538503944769505,0.4895287958115183
STEEL-a19,0.7,0,RF,residual-target,0.9095477386934674,0.887434554973822,1.6020589629168434,0.9809310332754811,0.14539087296251546,0.581151832460733
STEEL-a19,0.7,1,HistGB,residual-target,0.8944723618090452,0.8455497382198953,1.5564476740127642,1.0037366892770654,0.1520953381914299,0.49476439790575916
STEEL-a19,0.7,1,RF,residual-target,0.8693467336683417,0.8350785340314136,1.4784738136013273,0.9803389311810613,0.14854527621675126,0.5837696335078534
STEEL-a19,0.7,2,HistGB,residual-target,0.9597989949748744,0.8979057591623036,1.6755418734842698,1.0422116758885622,0.1529064575170596,0.40575916230366493
STEEL-a19,0.7,2,RF,residual-target,0.9296482412060302,0.9083769633507853,1.6692386726335284,0.9785978307725741,0.1470773664281208,0.5837696335078534
STEEL-a19,0.75,0,HistGB,residual-target,0.8995433789954338,0.8184818481848185,1.5020311568194822,1.0406689934937774,0.15368155781233017,0.429042904290429
STEEL-a19,0.75,0,RF,residual-target,0.9223744292237442,0.9174917491749175,1.6578418233087118,1.0000837336624624,0.14386544125213316,0.5148514851485149
STEEL-a19,0.75,1,HistGB,residual-target,0.863013698630137,0.7986798679867987,1.4469208229619557,0.997071269704733,0.1512849899136271,0.5214521452145214
STEEL-a19,0.75,1,RF,residual-target,0.8858447488584474,0.8547854785478548,1.5506391216292832,0.9861038859114025,0.14739043638297342,0.5247524752475248
STEEL-a19,0.75,2,HistGB,residual-target,0.91324200913242,0.8217821782178217,1.5699897537354672,1.0250632601172105,0.16561168350509706,0.44884488448844884
STEEL-a19,0.75,2,RF,residual-target,0.9269406392694064,0.8910891089108911,1.626241213246068,0.9826946400895903,0.14492862003692367,0.5643564356435643
STEEL-a19,0.8,0,HistGB,residual-target,0.9148936170212766,0.8481012658227848,1.5614232637790482,1.0563317499706741,0.14964853910764767,0.35864978902953587
STEEL-a19,0.8,0,RF,residual-target,0.9148936170212766,0.9029535864978903,1.6222118847869569,1.0069495390182945,0.1428217990442968,0.5021097046413502
STEEL-a19,0.8,1,HistGB,residual-target,0.8893617021276595,0.7763713080168776,1.4438764933470558,1.0382405175267315,0.1534325857982924,0.4177215189873418
STEEL-a19,0.8,1,RF,residual-target,0.9148936170212766,0.8818565400843882,1.571524465228054,1.0154870756258338,0.15214285255120327,0.45147679324894513
STEEL-a19,0.8,2,HistGB,residual-target,0.902127659574468,0.7890295358649789,1.5183891333677537,1.0657695021187807,0.15007768579963965,0.37130801687763715
STEEL-a19,0.8,2,RF,residual-target,0.9234042553191489,0.8860759493670886,1.5837678102128676,1.024158325171661,0.14561345204643616,0.4388185654008439
